lsoacode_2011,totalpop_2015
E01000396,1402
E01000398,1610
E01000399,1609
E01000400,1584
E01000401,1864
E01000402,1548
E01000403,2194
E01000404,2424
E01000405,1463
E01000406,1675
E01000407,1563
E01000408,1804
E01000409,1698
E01000410,1654
E01000411,1428
E01000412,1828
E01000413,1370
E01000414,1817
E01000415,1488
E01000416,1654
E01000417,1764
E01000418,2038
E01000419,1338
E01000420,1576
E01000421,1519
E01000422,1893
E01000423,1702
E01000424,1690
E01000425,1767
E01000426,1656
E01000427,2189
E01000428,1619
E01000429,1656
E01000430,2058
E01000431,1848
E01000432,1813
E01000433,1980
E01000434,1675
E01000435,1407
E01000436,1733
E01000437,1363
E01000438,1713
E01000439,1440
E01000440,1438
E01000441,1644
E01000442,1637
E01000443,1278
E01000444,1696
E01000445,1659
E01000446,1562
E01000447,1789
E01000448,1372
E01000449,1495
E01000450,1865
E01000451,1736
E01000452,1442
E01000453,1507
E01000454,1616
E01000455,1765
E01000456,1492
E01000457,2024
E01000458,1431
E01000459,1847
E01000460,1291
E01000461,1620
E01000462,1734
E01000463,1297
E01000464,1569
E01000465,1699
E01000466,1810
E01000467,1864
E01000468,3085
E01000469,1817
E01000470,1365
E01032566,1864
E01000471,1586
E01000472,1584
E01000473,2356
E01000474,2234
E01000475,2124
E01000476,1780
E01000477,2251
E01000478,1787
E01000479,1646
E01000480,1789
E01000481,1528
E01000482,3007
E01000483,1853
E01000484,1541
E01000485,1400
E01000486,1643
E01000487,1952
E01000488,1608
E01000489,1493
E01000490,1706
E01000491,2038
E01000492,1337
E01000493,1610
E01000494,1692
E01000495,1615
E01000497,1636
E01000498,1660
E01000499,1669
E01000501,1853
E01000502,1715
E01000503,2018
E01000504,1727
E01000505,1732
E01000506,1855
E01000507,1627
E01000508,2165
E01000509,1518
E01000510,1718
E01000511,1606
E01000512,1856
E01000513,1630
E01000514,1538
E01000515,1875
E01000516,1670
E01000517,1581
E01000518,1668
E01000519,1948
E01000520,1728
E01000521,2322
E01000522,1933
E01000523,2573
E01000524,2750
E01000525,2057
E01000526,2277
E01000527,2144
E01000528,1551
E01000530,1792
E01000531,2150
E01000532,1713
E01000533,2262
E01000534,1695
E01000535,2246
E01000536,1627
E01000538,1478
E01000539,1582
E01000540,1410
E01000541,1427
E01000543,1546
E01000544,1540
E01000545,1813
E01000546,1675
E01000547,1761
E01000548,2151
E01000549,1956
E01000550,1781
E01000551,2452
E01000552,1678
E01000553,2269
E01000554,1947
E01000555,1598
E01000556,2153
E01000557,1870
E01000558,1544
E01000559,1510
E01000560,1677
E01000561,1809
E01000562,1488
E01000563,1414
E01000564,1663
E01000565,1615
E01000566,1520
E01000567,1357
E01000568,3024
E01000569,1471
E01000570,1684
E01000571,1768
E01000572,1496
E01000573,1632
E01000574,1387
E01000575,2010
E01000576,1696
E01000577,2376
E01000578,2004
E01000579,1562
E01000580,1977
E01000581,1503
E01000582,1744
E01000583,2182
E01000584,1642
E01000585,1808
E01000586,2661
E01000587,1668
E01000588,2105
E01000589,2069
E01000590,1793
E01000591,2191
E01000592,1601
E01000593,2186
E01000594,1717
E01000595,1674
E01000596,1779
E01000599,1179
E01000600,2736
E01000601,1413
E01000602,1511
E01000603,1525
E01000604,1730
E01000605,1610
E01000606,1786
E01000607,2282
E01000608,2420
E01000609,2087
E01000610,2151
E01000611,1374
E01000612,1554
E01000613,1829
E01000615,1929
E01000616,1772
E01000617,1882
E01000618,1516
E01000619,1548
E01000620,1705
E01000621,1768
E01000622,1768
E01000623,1739
E01000624,1710
E01000625,1576
E01000626,1526
E01000627,2184
E01000628,1957
E01000629,1932
E01000630,2582
E01000631,2084
E01000632,2356
E01000633,2250
E01000634,2685
E01000635,2746
E01000636,2089
E01000637,1655
E01000638,2171
E01000639,1801
E01000640,2541
E01000641,2088
E01000642,2238
E01000643,2293
E01000644,1947
E01033424,2486
E01033455,1347
E01033456,2365
E01033457,1729
E01033463,2874
E01033464,2889
E01033485,2189
E01000645,1443
E01000646,1668
E01000647,1628
E01000648,1829
E01000649,1988
E01000650,1995
E01000651,1693
E01000652,1583
E01000653,1537
E01000654,1293
E01000655,1388
E01000656,1407
E01000657,1529
E01000658,1285
E01000659,1435
E01000661,2378
E01000662,1760
E01000663,1739
E01000664,1680
E01000665,1877
E01000666,1848
E01000667,1639
E01000668,1922
E01000669,1692
E01000670,2108
E01000671,2205
E01000672,1645
E01000673,1618
E01000674,1671
E01000675,1819
E01000676,1969
E01000677,1911
E01000678,1882
E01000679,1734
E01000680,1628
E01000681,1739
E01000682,1599
E01000683,1619
E01000684,2157
E01000685,1550
E01000686,1558
E01000687,1637
E01000688,1420
E01000689,1515
E01000690,1449
E01000691,1590
E01000692,1619
E01000693,1545
E01000694,2159
E01000695,1593
E01000696,1566
E01000697,1740
E01000698,1112
E01000699,1543
E01000700,1558
E01000701,1385
E01000702,1309
E01000703,1737
E01000704,1485
E01000705,1381
E01000706,1338
E01000707,1546
E01000708,1641
E01000709,1343
E01000710,1798
E01000711,1959
E01000712,1723
E01000713,1731
E01000714,2228
E01000715,1756
E01000716,1644
E01000717,1701
E01000718,2299
E01000719,2097
E01000720,1790
E01000721,1499
E01000722,1778
E01000723,1209
E01000724,1896
E01000725,1728
E01000726,1279
E01000727,1694
E01000728,1624
E01000729,1890
E01000730,1784
E01000731,1428
E01000732,1530
E01000733,1648
E01000734,1427
E01000735,1553
E01000736,1661
E01000737,1405
E01000738,1522
E01000739,1672
E01000740,2054
E01000741,1836
E01000742,2178
E01000743,1919
E01000744,1578
E01000745,1889
E01000746,2034
E01000747,1919
E01000748,1629
E01000749,1708
E01000750,1533
E01000751,2029
E01000752,1717
E01000753,1874
E01000754,1713
E01000755,1510
E01000756,1621
E01000757,1504
E01000758,1491
E01000759,1568
E01000760,1548
E01000761,1594
E01000762,1657
E01000763,1464
E01000764,1690
E01000765,1755
E01000766,1784
E01000767,1637
E01000768,1540
E01000769,1467
E01000770,1487
E01000771,1692
E01000772,1574
E01000773,1598
E01000774,1471
E01000775,2359
E01000777,1615
E01000778,1661
E01000779,1329
E01000780,1643
E01000781,1478
E01000782,1510
E01000783,1730
E01000784,1604
E01000785,1526
E01000786,1430
E01000787,1466
E01000788,1515
E01000789,1975
E01000790,2230
E01000791,1446
E01000792,1426
E01000793,1509
E01000794,1578
E01000795,1419
E01000796,1695
E01000797,1629
E01000798,1548
E01000799,1801
E01000800,1692
E01000801,1603
E01000802,1739
E01000803,1619
E01000804,1545
E01000805,1798
E01000806,1924
E01000807,1564
E01000808,1575
E01000809,1517
E01000810,1521
E01000811,1348
E01000812,1545
E01000813,1664
E01000814,1464
E01000815,1564
E01000816,1473
E01000818,1517
E01000819,1732
E01000820,1511
E01000822,1705
E01000823,1686
E01000824,1247
E01000825,1687
E01000826,1639
E01000827,1844
E01000828,1762
E01000829,1838
E01000830,1533
E01000831,1672
E01000832,1515
E01000833,1489
E01000834,1372
E01000835,1732
E01000836,1436
E01000837,1584
E01000838,1486
E01000839,1463
E01000840,1544
E01000841,1609
E01032562,1636
E01032563,1499
E01032568,1577
E01032570,1637
E01000842,1668
E01000843,1923
E01000844,1904
E01000845,1714
E01000846,1643
E01000847,1875
E01000848,1841
E01000849,1824
E01000850,1930
E01000851,2657
E01000852,1862
E01000853,1708
E01000854,1798
E01000855,1738
E01000856,1812
E01000857,1535
E01000858,2055
E01000859,1694
E01000860,1428
E01000861,1572
E01000862,1641
E01000863,1668
E01000864,1702
E01000865,1947
E01000866,2256
E01000867,1800
E01000868,1513
E01000869,2292
E01000870,1846
E01000871,1851
E01000872,2155
E01000873,1735
E01000874,1743
E01000875,1834
E01000876,1979
E01000877,1708
E01000878,2368
E01000879,1478
E01000880,1637
